C6,C42
1402,normal.
874,normal.
332,normal.
146,snmpgetattack.
18718,normal.
775,normal.
1063,normal.
146,normal.
115,normal.
7344,normal.
6788,normal.
2093,normal.
2862,normal.
326,normal.
110,normal.
1193,normal.
5972,normal.
0,normal.
146,snmpgetattack.
3331,normal.
7439,normal.
486,normal.
9392,normal.
146,snmpgetattack.
110,normal.
4,normal.
26625,normal.
146,snmpgetattack.
3060,normal.
342,normal.
407,normal.
14607,normal.
5064,normal.
146,snmpgetattack.
64498,normal.
634,normal.
4897,normal.
306,normal.
332,normal.
1047,normal.
5381,normal.
1212,normal.
12341,normal.
330,normal.
1047,normal.
146,snmpgetattack.
146,snmpgetattack.
309,normal.
0,normal.
146,snmpgetattack.
1587,normal.
146,snmpgetattack.
146,snmpgetattack.
146,snmpgetattack.
375,normal.
146,normal.
9929,normal.
146,normal.
593,normal.
3855,normal.
2239,normal.
146,normal.
146,snmpgetattack.
146,snmpgetattack.
1047,normal.
3115,normal.
146,normal.
347,normal.
1573,normal.
3551,normal.
2156,normal.
1984,normal.
294,normal.
336,normal.
531,normal.
332,normal.
4058,normal.
430,normal.
241,normal.
146,snmpgetattack.
44,normal.
2702,normal.
2199,normal.
4947,normal.
586,normal.
146,normal.
468,normal.
345,normal.
0,normal.
1587,normal.
588,normal.
2445,normal.
5893,normal.
2772,normal.
334,normal.
2443,normal.
753,normal.
1496,normal.
1047,normal.
3222,normal.
1359,normal.
3463,normal.
943,normal.
146,snmpgetattack.
10624,normal.
3222,normal.
146,normal.
2702,normal.
631,normal.
753,normal.
16696,normal.
870,normal.
146,snmpgetattack.
35014,normal.
1093,normal.
1372,normal.
146,snmpgetattack.
146,normal.
146,snmpgetattack.
308,normal.
520,normal.
17588,xlock.
709,normal.
1030,normal.
870,normal.
388,normal.
1055,normal.
257,normal.
146,normal.
755,normal.
185,normal.
753,normal.
307,normal.
259,normal.
190,normal.
2427,normal.
2445,normal.
6924,normal.
146,snmpgetattack.
664,normal.
1266,normal.
146,normal.
145,snmpgetattack.
3222,normal.
4471,normal.
146,snmpgetattack.
1212,normal.
9207,normal.
207796,xlock.
3313,normal.
146,snmpgetattack.
2698,normal.
3376,normal.
42,normal.
42,normal.
42,normal.
42,normal.
42,normal.
1965,normal.
770,normal.
321,normal.
9207,normal.
1512,normal.
3410,normal.
16082,normal.
146,snmpgetattack.
8712,normal.
1565,normal.
42,normal.
42,normal.
42,normal.
42,normal.
0,normal.
34,normal.
42,normal.
45,normal.
42,normal.
42,normal.
42,normal.
39,normal.
42,normal.
1565,normal.
1850,normal.
42,normal.
673,normal.
1743,normal.
278,normal.
34,normal.
42,normal.
60530,xlock.
42,normal.
1047,normal.
625,normal.
339,normal.
13141,normal.
6281,normal.
193,normal.
1011,xlock.
100,normal.
146,snmpgetattack.
25519,normal.
1797,normal.
34,normal.
9699,normal.
11200,normal.
300,normal.
6324,normal.
34,normal.
2863,normal.
382,normal.
634,normal.
1098,normal.
146,snmpgetattack.
1398,normal.
1564,normal.
0,normal.
772,normal.
168,normal.
146,normal.
520,normal.
441,normal.
1809,normal.
283,normal.
146,snmpgetattack.
146,normal.
2772,normal.
267,normal.
146,snmpgetattack.
146,normal.
2863,normal.
306,normal.
675,normal.
146,snmpgetattack.
146,normal.
1850,normal.
304,normal.
188,normal.
449,normal.
3713,normal.
1471,normal.
445,normal.
168,normal.
3913,normal.
304,normal.
1850,normal.
291,normal.
675,normal.
197,normal.
938,normal.
1429,normal.
291,normal.
1773,normal.
6989,normal.
6291,normal.
169,normal.
588,normal.
291,normal.
309,normal.
146,snmpgetattack.
4904,normal.
291,normal.
196,normal.
2858,normal.
8557,normal.
402,normal.
2698,normal.
30327,normal.
25519,normal.
2034,normal.
0,normal.
146,snmpgetattack.
11444,normal.
146,snmpgetattack.
408,normal.
44,normal.
5247,normal.
1151,normal.
44,normal.
331,normal.
146,normal.
146,snmpgetattack.
146,normal.
459,normal.
146,snmpgetattack.
601,normal.
146,normal.
46,normal.
1930,normal.
1556,normal.
49759,normal.
6924,normal.
19075,normal.
3200,normal.
0,normal.
146,snmpgetattack.
326,normal.
2153,normal.
3287,normal.
1567,normal.
1009,normal.
331,normal.
146,snmpgetattack.
146,normal.
1302,normal.
799,normal.
333,normal.
115,normal.
42,normal.
247,normal.
3200,normal.
526,normal.
402,normal.
5338,normal.
114,normal.
114,normal.
42,normal.
114,normal.
114,normal.
4823,normal.
3582,normal.
4033,normal.
1326,normal.
755,normal.
181,normal.
1284,normal.
3200,normal.
526,normal.
13057,normal.
146,snmpgetattack.
257,normal.
6045,normal.
674,normal.
1150,normal.
146,snmpgetattack.
283,normal.
436,normal.
42,normal.
146,snmpgetattack.
146,snmpgetattack.
113,normal.
13057,normal.
146,normal.
329,normal.
5681,normal.
1466,normal.
330,normal.
2975,normal.
5190,normal.
1383,normal.
42,normal.
855,normal.
146,snmpgetattack.
146,snmpgetattack.
0,normal.
324,normal.
2507,normal.
1047,normal.
366,normal.
193,normal.
1227,normal.
146,snmpgetattack.
15820,xlock.
38,normal.
483,normal.
146,normal.
25080,normal.
638,normal.
2053,normal.
1734,normal.
272,normal.
339,normal.
146,normal.
2698,normal.
146,normal.
146,snmpgetattack.
1047,normal.
820,normal.
990,normal.
866,normal.
12304,normal.
45263,normal.
483,normal.
37,normal.
3443,normal.
146,snmpgetattack.
115,normal.
502,normal.
328,normal.
5683,normal.
146,normal.
392,normal.
3433,normal.
160,normal.
55605,normal.
146,normal.
392,normal.
146,snmpgetattack.
0,normal.
0,normal.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
0,smurf.
